# The 51 papers whose blocks.jsonl changed when the glyph-decoding fix was
# applied and the corpus re-extracted on 2026-09-17/18 (PR #73).
# Their stored perturbations.json no longer corresponds to the text the
# model saw, so these are the papers a re-run has to cover.
# ctrl_now  undecodable_now  paper_id
       58              0  10.1016_j.ccell.2021.09.008
        6              1  10.1016_j.ccell.2022.11.001
       16              0  10.1016_j.cell.2017.09.004
       39              2  10.1016_j.cell.2019.06.029
       20              1  10.1016_j.cell.2021.04.021
      190              0  10.1016_j.cell.2022.01.012
       11              0  10.1016_j.cell.2022.11.005
      300            207  10.1016_j.cell.2023.11.026
        0              0  10.1016_j.cell.2024.08.019
       99              0  10.1016_j.cell.2025.02.017
       18              3  10.1016_j.celrep.2018.09.006
       22              4  10.1016_j.celrep.2022.111838
       14              0  10.1016_j.celrep.2024.115103
       20             20  10.1016_j.cmet.2022.11.009
       21             16  10.1016_j.immuni.2021.03.005
       88             88  10.1016_j.immuni.2023.01.032
       22             38  10.1016_j.isci.2021.103115
        7              2  10.1016_j.jhep.2023.12.023
       37             30  10.1016_j.labinv.2023.100258
      228            228  10.1016_j.neuron.2022.06.021
       72             46  10.1016_j.stem.2022.04.008
       14             13  10.1016_j.xgen.2022.100164
       19             24  10.1038_nn.4216
        0           2691  10.1038_s41467-020-19737-2
        7              8  10.1038_s41467-021-22691-2
        0              1  10.1038_s41586-020-03182-8
        0              0  10.1038_s41586-020-2496-1
        0              7  10.1038_s41586-021-03569-1
        2              4  10.1038_s41586-021-03852-1
     4198           1687  10.1038_s41586-021-04345-x
        0            346  10.1038_s41586-022-05670-5
        0              1  10.1038_s41586-023-06884-x
        0              0  10.1038_s41588-025-02454-1
        0             73  10.1038_s42255-022-00531-x
       33             10  10.1073_pnas.2121720119
        0              1  10.1101_2021.09.16.460628
      340            477  10.1101_2025.05.07.652714
        5              5  10.1101_2025.05.30.657075
     1410           3577  10.1126_science.aat1699
        0              0  10.1126_science.aax6234
        0              1  10.1126_science.abf3041
       72            118  10.1126_science.abl4290
        0              0  10.1126_science.abq3061
       20              0  10.1161_atvbaha.122.317953
        7              2  10.1164_rccm.202207-1384oc
        3              3  10.1165_rcmb.2021-0555oc
       81            142  10.1242_dev.199711
        4              4  10.15252_embj.20105114
        3             21  10.15252_embj.2018100811
       26             23  10.15252_embj.2019104063
      217            475  10.3389_fimmu.2025.1639553
